ISO_code,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty Alleviation (source),Legal Protection (source),Gender-Equitable Births (source),Maternal Survival (source),Attitudes Against Violence (source),Absence of Child Marriage (source),Water Sanitation Access (source),Electricity Access (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty Alleviation (score),Legal Protection (score),Gender-Equitable Births (score),Maternal Survival (score),Attitudes Against Violence (score),Absence of Child Marriage (score),Water Sanitation Access (score),Electricity Access (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy
AFG,Year of 1995,0.2179861412244731,48.24035202815238,25.925925925925927,4.226653060887359,0.1979166666666666,105.8,1346.1441,7.485015354535181,34.8,23.106328479259915,4.4,0.0,0.0261623002588748,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,ORI,TSI,Southern Asia,South Asia,Low income,0.0,0.4524238664143306,0.2474747474747475,0.9538070703728158,0.1444444444444444,0.6857142857142857,0.2019700888582789,0.8282495884353063,0.5456919060052219,0.1638623049623111,0.0362903225806451,0.0,0.0183689082645857,35.96300257412676,56.54064672532733,5.463038395188551,22.312607347861285,True,Afghanistan
AFG,Year of 2024,0.3000787172160685,25.04890412595526,0.0,24.68970002001485,0.125,105.1,620.40751,4.478522694144559,28.7,64.60567313182995,85.3,56.55443457,0.046972569078207,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Asia,South Asia,Low income,0.0677685068087124,0.20707669207795,0.0,0.7301672128960126,0.0666666666666666,0.7257142857142859,0.6325520751738665,0.8991645421474264,0.6253263707571801,0.6151239718475416,0.8518145161290323,0.1770500418258334,0.0393457167264668,21.433581568986835,72.06893184481898,42.08335616322185,40.20848721117322,True,Afghanistan
AGO,Year of 1995,0.6323232323232323,67.47305748996665,9.545454545454543,21.4,0.53125,103.1,859.92091,18.350702179172337,30.3,32.04116353086099,24.2,0.01433269,0.3892834484577179,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,ORI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.3420407465603601,0.655890677102462,0.0911157024793388,0.766120218579235,0.5,0.8400000000000002,0.4904479606201275,0.5719577010905941,0.6044386422976501,0.2610192261736052,0.2358870967741935,4.487010405586847e-05,0.3843960288344739,47.10334689442791,62.6711076002093,22.03368054715821,40.21629535950324,True,Angola
AGO,Year of 2024,0.6034100669232596,78.52803256390015,38.63636363636363,31.1,0.8125,102.8,221.90649,20.263198306520163,30.3,54.00622978119886,48.5,67.37347427,0.2233164608478546,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.318172546268167,0.7728435688833907,0.3688016528925619,0.6601092896174863,0.8,0.8571428571428572,0.8689840852236667,0.5268471388290322,0.6044386422976501,0.4998661885137236,0.4808467741935484,0.2109202669631644,0.2171008468110047,58.39854115323211,71.43531808733016,35.21835191203603,52.76687035732889,True,Angola
ALB,Year of 1995,0.8747346072186837,53.09113683691162,12.142857142857142,1.1,0.625,107.8,14.32641,9.899184185897726,9.6,88.46843434157529,100.0,0.0,0.2267261147499084,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5421545414033144,0.5037413327131971,0.1159090909090909,0.9879781420765028,0.6,0.5714285714285714,0.9921420524496936,0.7713059367228572,0.8746736292428199,0.8746063682599636,1.0,0.0,0.2205377873640381,54.9956621420421,80.23875474609856,52.37860389060004,61.36991351813816,True,Albania
ALB,Year of 2024,0.938384293205911,70.29538672942996,35.714285714285715,0.0,0.9375,106.8,8.27645,5.523562786176682,11.8,97.91171427260028,100.0,97.88570679,0.4568611085414886,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5946981986840828,0.6857486879894695,0.3409090909090909,1.0,0.9333333333333332,0.6285714285714286,0.995731514287259,0.8745148994823619,0.8459530026109661,0.977292092051852,1.0,0.3064422553791041,0.4525144968939779,71.09378621831952,83.61927112380039,68.40622110812335,74.0874318003761,True,Albania
ARE,Year of 1995,1.1630057803468208,55.41153832834322,0.0,0.0,0.0625,104.5,21.75752,8.549156893182353,16.37777777777778,99.31099858398792,100.0,5.298629246,0.4720843434333801,TSI,TSI,TSI,TSI,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,ORI,ORI,TSI,Middle East,Middle East & North Africa,High income,0.780126205989522,0.5282893450516044,0.0,1.0,0.0,0.7599999999999998,0.9877331496212864,0.8031493947942202,0.7861908906295328,0.9925078352422456,1.0,0.0165879570144535,0.4678595597218439,46.168311020822536,83.42683587612598,61.92388379946357,62.01584260722046,True,United Arab Emirates
ARE,Year of 2024,0.9786422578184591,59.14390380682703,50.0,0.0,0.78125,104.5,9.3407,6.974895348365124,13.866666666666667,99.39117466096369,100.0,212.2208173,0.8585883975028992,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,TSI,Middle East,Middle East & North Africa,High income,0.6279316807133188,0.5677748195074663,0.4772727272727273,1.0,0.7666666666666667,0.7599999999999998,0.9951000911438616,0.8402819266817185,0.8189730200174065,0.9933796656396482,1.0,0.6643812260693877,0.8574567140087261,68.79291788320359,85.35887594607466,87.88044014294405,80.20994412661929,True,United Arab Emirates
ARG,Year of 1995,1.0274599542334095,56.658166594635645,20.364741641337385,5.0,0.65625,105.5,71.50375,1.639344262295082,15.5,90.5105695624298,93.8344650268555,1.160057586,0.3181856274604797,TSI,TSI,TSI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,ORI,ORI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6682313345117443,0.541477686024215,0.1943907156673114,0.9453551912568308,0.6333333333333333,0.7028571428571426,0.9582185422275596,0.9661330099995634,0.7976501305483028,0.8968124380541471,0.9378474297062046,0.0036316912313473,0.3127292288491369,59.6557652158687,85.62147064081421,53.7755196960209,65.00397381474815,True,Argentina
ARG,Year of 2024,1.048802946593002,67.07423538594644,43.161094224924014,0.6,0.75,105.1,44.90008,4.513540621865597,15.5,96.21369364061388,100.0,132.3578095,0.6677854657173157,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6858502568755329,0.6516714547107898,0.4119922630560929,0.9934426229508196,0.7333333333333333,0.7257142857142859,0.9740025900897248,0.8983385648363396,0.7976501305483028,0.9588279059975728,1.0,0.414361064452787,0.6651268316425069,69.52579861853138,84.89263927971633,75.95789505232166,76.5355100909318,True,Argentina
