,ISO_code,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty Alleviation (source),Legal Protection (source),Gender-Equitable Births (source),Maternal Survival (source),Attitudes Against Violence (source),Absence of Child Marriage (source),Water Sanitation Access (source),Electricity Access (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty Alleviation (score),Legal Protection (score),Gender-Equitable Births (score),Maternal Survival (score),Attitudes Against Violence (score),Absence of Child Marriage (score),Water Sanitation Access (score),Electricity Access (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy,WSI Quartile
29,AFG,2024,0.3000787172160685,25.04890412595526,0.0,24.68970002001485,0.125,105.1,620.40751,4.478522694144559,28.7,64.60567313182995,85.3,56.55443457,0.046972569078207,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Asia,South Asia,Low income,0.0677685068087124,0.20707669207795,0.0,0.7301672128960126,0.0666666666666666,0.7257142857142859,0.6325520751738665,0.8991645421474264,0.6253263707571801,0.6151239718475416,0.8518145161290323,0.1770500418258334,0.0393457167264668,21.433581568986835,72.06893184481898,42.08335616322185,40.20848721117322,True,Afghanistan,lowest quartile
59,AGO,2024,0.6034100669232596,78.52803256390015,38.63636363636363,31.1,0.8125,102.8,221.90649,20.263198306520163,30.3,54.00622978119886,48.5,67.37347427,0.2233164608478546,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.318172546268167,0.7728435688833907,0.3688016528925619,0.6601092896174863,0.8,0.8571428571428572,0.8689840852236667,0.5268471388290322,0.6044386422976501,0.4998661885137236,0.4808467741935484,0.2109202669631644,0.2171008468110047,58.39854115323211,71.43531808733016,35.21835191203603,52.76687035732889,True,Angola,lowest quartile
89,ALB,2024,0.938384293205911,70.29538672942996,35.714285714285715,0.0,0.9375,106.8,8.27645,5.523562786176682,11.8,97.91171427260028,100.0,97.88570679,0.4568611085414886,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5946981986840828,0.6857486879894695,0.3409090909090909,1.0,0.9333333333333332,0.6285714285714286,0.995731514287259,0.8745148994823619,0.8459530026109661,0.977292092051852,1.0,0.3064422553791041,0.4525144968939779,71.09378621831952,83.61927112380039,68.40622110812335,74.0874318003761,True,Albania,mid-quartiles
119,ARE,2024,0.9786422578184591,59.14390380682703,50.0,0.0,0.78125,104.5,9.3407,6.974895348365124,13.866666666666667,99.39117466096369,100.0,212.2208173,0.8585883975028992,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,TSI,Middle East,Middle East & North Africa,High income,0.6279316807133188,0.5677748195074663,0.4772727272727273,1.0,0.7666666666666667,0.7599999999999998,0.9951000911438616,0.8402819266817185,0.8189730200174065,0.9933796656396482,1.0,0.6643812260693877,0.8574567140087261,68.79291788320359,85.35887594607466,87.88044014294405,80.20994412661929,True,United Arab Emirates,top quartile
149,ARG,2024,1.048802946593002,67.07423538594644,43.161094224924014,0.6,0.75,105.1,44.90008,4.513540621865597,15.5,96.21369364061388,100.0,132.3578095,0.6677854657173157,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6858502568755329,0.6516714547107898,0.4119922630560929,0.9934426229508196,0.7333333333333333,0.7257142857142859,0.9740025900897248,0.8983385648363396,0.7976501305483028,0.9588279059975728,1.0,0.414361064452787,0.6651268316425069,69.52579861853138,84.89263927971633,75.95789505232166,76.5355100909318,True,Argentina,mid-quartiles
179,ARM,2024,0.998236331569665,62.21481102220224,36.44859813084112,0.8,0.84375,108.3,27.18972,1.0664479081214109,5.3,95.95594896892923,100.0,135.2539805,0.4912759959697723,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.6441068476438211,0.6002625887540829,0.3479184367034834,0.9912568306010928,0.8333333333333334,0.5428571428571429,0.9845102068920746,0.9796460709071492,0.9308093994778068,0.9560252041441116,1.0,0.4234278547157167,0.487204798498812,68.33756074071627,85.94557050335435,71.66644643396602,74.9433232670533,True,Armenia,mid-quartiles
209,ATG,2024,1.0992927652220703,82.34300397925105,22.857142857142858,0.3454545454545454,0.6458333333333333,103.2,21.24795,14.528389522511397,20.15714285714285,97.7209201564322,100.0,197.3825359,0.9026253647529162,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,AVG_INC,Caribbean,Latin America & Caribbean,High income,0.7275302696684679,0.8132029488098906,0.2181818181818182,0.9962245404868356,0.6222222222222221,0.834285714285714,0.9880354792347992,0.6621156212117574,0.7368519209250279,0.9752174069787568,1.0,0.6179283110598355,0.9018460986565398,67.5472359873847,80.53221839143247,87.37479541737831,78.04069690597255,True,Antigua and Barbuda,top quartile
239,AUS,2024,1.013302034428795,76.4964484906968,44.24778761061947,0.5,0.96875,105.6,2.94151,2.2905027932960893,0.1588235294117647,99.9900113592986,100.0,107.0312028,1.0,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,AVG_EUR,TSI,TSI,TSI,TSI,Australia and New Zealand,East Asia & Pacific,High income,0.6565437845343327,0.7513510163748423,0.4223652453740949,0.994535519125683,0.9666666666666668,0.6971428571428573,0.9988967523277916,0.9507739580073364,0.9979265857779144,0.9998913840521924,1.0,0.3350732630693024,1.0,75.82924464151239,91.11850383139748,83.37411617803737,83.2066782004202,True,Australia,top quartile
269,AUT,2024,0.9545816733067728,74.54090461157553,42.79835390946502,0.5,0.96875,105.5,5.22839,1.4977441504239244,0.1,99.98148575958773,100.0,123.4348071,1.0,TSI,ORI,ORI,TSI,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,TSI,Western Europe,Europe & Central Asia,High income,0.6080693500992965,0.7306629089717785,0.4085297418630752,0.994535519125683,0.9666666666666668,0.7028571428571426,0.9975399386485126,0.9694729700504452,0.9986945169712794,0.9997986771343136,1.0,0.3864265981258963,1.0,74.16928373453,91.7141142131845,84.65563188150524,83.19656051581129,True,Austria,top quartile
299,AZE,2024,0.9838709677419356,75.51516997235542,18.103448275862068,0.0,0.84375,111.3,40.76367,4.590818363273453,11.0,96.6283713906681,100.0,106.8548072,0.3884376287460327,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.6322480498827571,0.740969865843519,0.1728056426332288,1.0,0.8333333333333334,0.3714285714285714,0.9764567362063143,0.8965157938955971,0.856396866840731,0.9633370897997826,1.0,0.3345210367302832,0.3835434402283709,67.58713783385677,77.51994920928034,67.03503916896092,70.55478413573562,True,Azerbaijan,mid-quartiles
