ISO_code,Year,IPV,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty Alleviation (source),Legal Protection (source),Gender-Equitable Births (source),Maternal Survival (source),Attitudes Against Violence (source),Absence of Child Marriage (source),Water Sanitation Access (source),Electricity Access (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty Alleviation (score),Legal Protection (score),Gender-Equitable Births (score),Maternal Survival (score),Attitudes Against Violence (score),Absence of Child Marriage (score),Water Sanitation Access (score),Electricity Access (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy
AFG,2018,46.0,0.4486989529651778,18.84536557173121,27.444794952681388,24.68970002001485,0.2291666666666666,105.3,663.4275,4.2007730887145645,32.5125,56.37725725797001,93.4,59.90264778,0.0615304624661803,TSI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South Asia,Low income,0.1904564762946147,0.1414481611822369,0.2619730427301405,0.7301672128960126,0.1777777777777777,0.7142857142857143,0.6070281688410237,0.9057158970441546,0.5755548302872062,0.5256486152087959,0.933467741935484,0.1875320012580079,0.0540201134802614,30.03645341761565,70.06461526145247,42.51671179706373,44.72692289700698,True,Afghanistan
ALB,2018,13.0,0.938384293205911,61.25129961831047,27.857142857142858,0.0,0.9375,108.4,5.42929,5.54197355429127,11.8,97.47635267156846,100.0,94.36446759,0.3949111104011535,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5946981986840828,0.5900694002398233,0.2659090909090909,1.0,0.9333333333333332,0.5371428571428567,0.9974207439954624,0.8740806397265171,0.8459530026109661,0.972557993154045,1.0,0.2954186185524091,0.390068727620854,67.6802004633266,81.36493108689507,66.4511334831827,71.52652019091778,True,Albania
AGO,2018,38.0,0.6034100669232596,67.99326990401875,30.454545454545453,31.1,0.8125,102.6,233.09626,20.24828425129148,30.3,52.92617557058372,45.3,42.49094914,0.2233164608478546,TSI,TSI,ORI,ORI,ORI,ORI,ORI,AVG_AFR,TSI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.318172546268167,0.6613941129543606,0.2907024793388429,0.6601092896174863,0.8,0.8685714285714288,0.8623451566380009,0.527198920674415,0.6044386422976501,0.4881217364629991,0.4485887096774193,0.1330227130667317,0.2171008468110047,54.60756856357713,71.56385370453737,32.17085015045387,50.09599792015682,True,Angola
ARG,2018,27.0,1.0386029411764706,61.9646345856722,39.51367781155015,1.0,0.6875,105.3,33.94483,4.513540621865597,15.5,96.21369364061388,100.0,131.9371685,0.5433669537305832,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,TSI,ORI,ORI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6774300175521879,0.5976159199455185,0.3771760154738878,0.989071038251366,0.6666666666666666,0.7142857142857143,0.980502377162034,0.8983385648363396,0.7976501305483028,0.9588279059975728,1.0,0.4130442003163155,0.5397126278320582,66.15919315779254,84.76941967080977,72.78961835364865,74.18218438121767,True,Argentina
ARM,2018,10.0,0.9988163404904544,59.33819523916476,18.09523809523809,1.3,0.8125,110.8,25.1014,1.458842302808275,5.3,95.7463755243127,99.9,126.1831509,0.4179829806089401,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.6445856526761015,0.5698302691767952,0.1727272727272727,0.985792349726776,0.8,0.4,0.9857492142482596,0.9703905584282,0.9308093994778068,0.953746313652122,0.998991935483871,0.3950305986510803,0.4133252365303651,63.4587108861389,82.17372930385666,69.02735210793595,71.13475153500279,True,Armenia
AUS,2018,23.0,1.0104923325262307,71.46668077951085,32.743362831858406,0.5,0.96875,105.9,4.42425,2.2905027932960893,0.1588235294117647,99.98988141499466,100.0,110.6519296,0.9939631968736647,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_EUR,ORI,ORI,ORI,TSI,Australia and New Zealand,East Asia & Pacific,High income,0.6542243384673232,0.698140052544036,0.3125502815768302,0.994535519125683,0.9666666666666668,0.6799999999999995,0.998017037644549,0.9507739580073364,0.9979265857779144,0.9998899710447416,1.0,0.3464083570589075,0.9939148857709336,72.52233716761079,90.66793953574498,83.50533034686455,81.88667659619742,True,Australia
AUT,2018,15.0,0.9508908366533864,72.45946951006977,33.60655737704918,0.6,0.9375,105.4,5.82625,1.5610529899472192,0.1,99.98178533204933,100.0,124.2461975,0.9878183007240297,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,AVG_REG,ORI,ORI,ORI,TSI,Western Europe,Europe & Central Asia,High income,0.6050225156461972,0.7086429720160262,0.320789865871833,0.9934426229508196,0.9333333333333332,0.7085714285714281,0.997185226277818,0.967979687368099,0.9986945169712794,0.9998019346693304,1.0,0.3889667473705902,0.9877208134757546,71.2246261963642,91.8107714797156,84.41223738789188,82.03069838124676,True,Austria
AZE,2018,14.0,0.9346049046321524,75.51516997235542,16.8,0.0,0.78125,113.8,27.59978,4.590818363273453,11.0,95.72275158124415,100.0,101.8436601,0.2994445323944091,ORI,TSI,ORI,TSI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.5915782634499912,0.740969865843519,0.1603636363636363,1.0,0.7666666666666667,0.2285714285714285,0.9842669168998908,0.8965157938955971,0.856396866840731,0.9534894281514772,1.0,0.3188330750276116,0.2938381532469965,65.19156864647626,74.14377515519118,64.15401641065213,67.68565859854282,True,Azerbaijan
BGD,2018,50.0,0.8285714285714285,40.63913025271153,20.285714285714285,10.666666666666666,0.375,105.1,172.13547,1.4166666666666663,58.9,68.00189321692618,86.9,98.83168698,0.3157872036099434,ORI,TSI,ORI,TSI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,Southern Asia,South Asia,Lower middle income,0.5040462271169092,0.3720089526075951,0.1936363636363636,0.8834244080145719,0.3333333333333333,0.7257142857142859,0.8985134006086782,0.9713853665393808,0.2310704960835509,0.6520542884474861,0.8679435483870969,0.3094037531551733,0.3103116109817324,45.72898569417546,70.6670887236474,53.492830024287215,55.70593239341971,True,Bangladesh
BLR,2018,21.0,0.9989288580756924,76.9335002776702,33.13253012048193,0.0,0.71875,105.7,1.11169,4.4473512099411385,4.7,98.69443872968095,99.3,119.8449004,0.8133817315101624,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Eastern Europe,Europe & Central Asia,Upper middle income,0.6446785374302855,0.7559746785724246,0.3162650602409639,1.0,0.7,0.6914285714285711,0.9999823907550894,0.8998997923572627,0.9386422976501304,0.9858033961741496,0.9929435483870968,0.3751879899386083,0.8118882697967542,68.33836552487348,88.24882630477634,79.14558010741521,78.15079447265762,True,Belarus
