ISO_code,Country,Missing_Count,Indicators
CHI,Channel Islands,12,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Son Bias, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation, Cell Phone Use, Financial Inclusion"
TKL,Tokelau,12,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation, Access Electricity, Cell Phone Use, Financial Inclusion"
WLF,Wallis and Futuna Islands,12,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation, Access Electricity, Cell Phone Use, Financial Inclusion"
NIU,Niue,12,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation, Access Electricity, Cell Phone Use, Financial Inclusion"
COK,Cook Islands,11,"Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation, Access Electricity, Cell Phone Use, Financial Inclusion"
ASM,American Samoa,10,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Electricity, Financial Inclusion"
MAF,St. Martin (French part),10,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Cell Phone Use, Financial Inclusion"
MNP,Northern Mariana Islands,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
GIB,Gibraltar,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
VGB,British Virgin Islands,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
IMN,Isle of Man,9,"Education, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Cell Phone Use, Financial Inclusion"
TWN,Taiwan,9,"Education, Employment, Parliamentary Representation, Poverty, Maternal Mortality, Child Marriage, Access Water Sanitation, Access Electricity, Cell Phone Use"
VIR,Virgin Islands,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
XKX,Kosovo,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Access Water Sanitation"
SXM,Sint Maarten (Dutch part),9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
GRL,Greenland,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
FRO,Faroe Islands,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
GUM,Guam,9,"Education, Employment, Parliamentary Representation, Poverty, Legal Protection Index, Maternal Mortality, Attitudes Towards Violence, Child Marriage, Financial Inclusion"
